Date,Price,Open,High,Low,Vol.,Change %
2021-03-26,25.184,25.35,25.35,25.0,0.19K,0.30%
2021-03-28,25.082,25.133,25.145,25.038,-,-0.41%
2021-03-29,24.841,25.05,25.05,24.6,0.28K,-0.96%
2021-03-30,24.209,24.68,24.82,23.995,0.34K,-2.54%
2021-03-31,24.609,24.06,24.62,23.825,0.42K,1.65%
2021-04-01,25.02,24.415,25.06,24.415,63.17K,1.67%
2021-04-04,25.047,25.003,25.062,24.965,-,0.11%
2021-04-05,24.855,25.065,25.1,24.8,0.49K,-0.77%
2021-04-06,25.302,25.1,25.4,24.99,0.49K,1.80%
2021-04-07,25.312,25.27,25.335,25.01,0.54K,0.04%
2021-04-08,25.653,25.1,25.725,25.1,2.51K,1.35%
2021-04-09,25.389,25.575,25.575,25.1,1.24K,-1.03%
2021-04-11,25.305,25.315,25.32,25.253,-,-0.33%
2021-04-12,24.931,25.21,25.335,24.8,1.18K,-1.48%
2021-04-13,25.491,24.8,25.575,24.8,1.89K,2.25%
2021-04-14,25.59,25.44,25.59,25.34,1.12K,0.39%
2021-04-15,26.026,25.715,26.12,25.455,1.08K,1.70%
2021-04-16,26.169,25.945,26.37,25.905,0.29K,0.55%
2021-04-18,25.988,26.035,26.062,25.973,-,-0.69%
2021-04-19,25.902,26.0,26.29,25.76,0.91K,-0.33%
2021-04-20,25.904,26.03,26.08,25.885,1.29K,0.01%
2021-04-21,26.632,25.945,26.77,25.945,1.88K,2.81%
2021-04-22,26.247,26.705,26.705,26.125,0.64K,-1.45%
2021-04-23,26.142,26.265,26.405,25.96,1.59K,-0.40%
2021-04-25,25.995,25.992,26.045,25.965,-,-0.56%
2021-04-26,26.276,26.2,26.345,25.995,0.51K,1.08%
2021-04-27,26.484,26.23,26.55,26.23,1.32K,0.79%
2021-04-28,26.151,26.23,26.385,25.91,1.25K,-1.26%
2021-04-29,26.115,26.425,26.585,25.82,2.83K,-0.14%
2021-04-30,25.9,26.2,26.295,25.885,3.49K,-0.82%
2021-05-02,25.918,25.98,25.983,25.89,-,0.07%
2021-05-03,26.988,26.005,27.13,25.93,3.65K,4.13%
2021-05-04,26.583,27.04,27.265,26.205,3.59K,-1.50%
2021-05-05,26.548,26.565,26.72,26.2,2.55K,-0.13%
2021-05-06,27.503,26.59,27.605,26.31,4.53K,3.60%
2021-05-07,27.502,27.415,27.795,27.27,2.44K,-0.00%
2021-05-09,27.767,27.56,27.78,27.56,-,0.96%
2021-05-10,27.517,27.69,28.01,27.375,2.94K,-0.90%
2021-05-11,27.69,27.4,27.795,27.215,3.04K,0.63%
2021-05-12,27.267,27.775,27.83,27.05,3.59K,-1.53%
2021-05-13,27.083,27.11,27.33,26.815,3.28K,-0.67%
2021-05-14,27.39,27.22,27.605,26.955,1.83K,1.13%
2021-05-16,27.582,27.483,27.61,27.455,-,0.70%
2021-05-17,28.298,27.535,28.455,27.475,2.76K,2.60%
2021-05-18,28.358,28.385,28.92,28.15,2.67K,0.21%
2021-05-19,28.047,28.32,28.35,27.46,3.35K,-1.10%
2021-05-20,28.091,27.87,28.145,27.525,2.12K,0.16%
2021-05-21,27.51,27.885,28.2,27.31,2.87K,-2.07%
2021-05-23,27.657,27.648,27.677,27.598,-,0.53%
2021-05-24,27.932,27.71,28.035,27.585,2.20K,0.99%
2021-05-25,28.086,27.895,28.18,27.595,2.99K,0.55%
2021-05-26,27.907,28.15,28.355,27.73,2.34K,-0.64%
2021-05-27,27.971,27.805,28.02,27.635,3.28K,0.23%
2021-05-28,28.045,28.005,28.12,27.515,2.81K,0.26%
2021-05-30,28.058,28.06,28.085,28.035,-,0.05%
2021-05-31,28.192,28.055,28.258,27.997,-,0.48%
2021-06-01,28.134,28.08,28.735,27.965,4.75K,-0.21%
2021-06-02,28.235,28.03,28.35,27.815,4.05K,0.36%
2021-06-03,27.506,28.33,28.395,27.125,5.01K,-2.58%
2021-06-04,27.926,27.585,28.01,27.355,4.68K,1.53%
2021-06-06,27.878,27.918,27.918,27.863,-,-0.17%
2021-06-07,28.05,27.945,28.115,27.635,16.96K,0.62%
2021-06-08,27.762,28.06,28.145,27.645,16.40K,-1.03%
2021-06-09,28.032,27.75,28.165,27.66,14.58K,0.97%
2021-06-10,28.062,27.91,28.21,27.515,20.04K,0.11%
2021-06-11,28.18,28.175,28.465,28.055,19.57K,0.42%
2021-06-13,27.955,28.05,28.122,27.948,-,-0.80%
2021-06-14,28.074,28.105,28.185,27.605,7.69K,0.43%
2021-06-15,27.73,28.05,28.07,27.52,10.06K,-1.23%
2021-06-16,27.848,27.84,28.005,26.74,9.78K,0.43%
2021-06-17,25.892,27.05,27.36,25.855,26.94K,-7.02%
2021-06-18,26.009,25.995,26.59,25.81,17.96K,0.45%
2021-06-20,25.93,25.835,25.977,25.83,-,-0.30%
2021-06-21,26.065,25.895,26.17,25.615,13.28K,0.52%
2021-06-22,25.898,26.02,26.12,25.775,13.53K,-0.64%
2021-06-23,26.152,25.89,26.41,25.85,23.74K,0.98%
2021-06-24,26.089,25.98,26.28,25.905,25.31K,-0.24%
2021-06-25,26.126,26.055,26.415,26.01,31.54K,0.14%
2021-06-27,26.192,26.098,26.218,26.098,-,0.25%
2021-06-28,26.254,26.22,26.335,25.875,40.54K,0.24%
2021-06-29,25.901,26.235,26.235,25.58,75.84K,-1.34%
2021-06-30,26.194,25.875,26.275,25.8,44.64K,1.13%
2021-07-01,26.1,26.25,26.525,26.045,54.77K,-0.36%
2021-07-02,26.501,26.145,26.7,26.1,57.34K,1.54%
2021-07-05,26.538,26.698,26.745,26.503,-,0.14%
2021-07-06,26.174,26.64,26.91,26.1,80.50K,-1.37%
2021-07-07,26.129,26.265,26.545,26.06,50.06K,-0.17%
2021-07-08,25.987,26.265,26.31,25.875,59.52K,-0.54%
2021-07-09,26.234,26.005,26.3,25.82,45.50K,0.95%
2021-07-11,26.192,26.198,26.212,26.175,-,-0.16%
2021-07-12,26.239,26.185,26.375,25.93,43.37K,0.18%
2021-07-13,26.14,26.32,26.44,26.005,50.73K,-0.38%
2021-07-14,26.271,26.055,26.575,26.01,65.10K,0.50%
2021-07-15,26.394,26.325,26.49,26.245,35.26K,0.47%
2021-07-16,25.795,26.43,26.55,25.64,78.28K,-2.27%
2021-07-18,25.747,25.707,25.753,25.665,-,-0.19%
2021-07-19,25.144,25.7,25.805,25.035,86.39K,-2.34%
2021-07-20,24.995,25.24,25.315,24.84,64.68K,-0.59%
2021-07-21,25.255,24.975,25.365,24.79,50.53K,1.04%
2021-07-22,25.381,25.33,25.515,25.06,48.08K,0.50%
2021-07-23,25.233,25.48,25.535,25.05,39.88K,-0.58%
2021-07-25,25.22,25.227,25.227,25.214,-,-0.05%
2021-07-26,25.318,25.27,25.51,25.175,40.29K,0.39%
