Date,Price,Open,High,Low,Vol.,Change %
2021-09-02,73.03,71.31,73.47,70.92,255.42K,2.01%
2021-09-03,72.61,72.86,73.69,72.4,211.42K,-0.58%
2021-09-06,72.22,72.57,72.78,71.51,127.87K,-0.54%
2021-09-07,71.69,72.29,72.81,71.1,257.40K,-0.73%
2021-09-08,72.6,71.64,72.95,71.55,325.36K,1.27%
2021-09-09,71.45,72.61,73.2,70.88,377.81K,-1.58%
2021-09-10,72.92,71.37,73.15,70.94,250.51K,2.06%
2021-09-13,73.51,72.88,73.92,72.69,244.73K,0.81%
2021-09-14,73.6,73.62,74.28,73.08,278.58K,0.12%
2021-09-15,75.46,73.92,76.13,73.78,289.45K,2.53%
2021-09-16,75.67,75.46,75.87,74.48,236.51K,0.28%
2021-09-17,75.34,75.68,75.78,74.58,254.86K,-0.44%
2021-09-20,73.92,75.33,75.4,73.52,313.75K,-1.88%
2021-09-21,74.36,74.33,75.18,73.26,258.71K,0.60%
2021-09-22,76.19,74.56,76.26,74.49,255.75K,2.46%
2021-09-23,77.25,75.9,77.35,75.6,226.59K,1.39%
2021-09-24,78.09,77.26,78.24,76.85,163.23K,1.09%
2021-09-27,79.53,78.25,79.9,78.21,231.13K,1.84%
2021-09-28,79.09,79.4,80.75,78.1,132.33K,-0.55%
2021-09-29,78.64,78.25,79.4,77.5,97.97K,-0.57%
2021-09-30,78.52,78.46,79.11,77.6,20.51K,-0.15%
2021-10-01,79.28,78.49,79.41,77.55,282.37K,0.97%
2021-10-04,81.26,79.49,82.0,78.75,362.37K,2.50%
2021-10-05,82.56,81.27,83.13,81.19,340.27K,1.60%
2021-10-06,81.08,82.57,83.47,80.6,401.36K,-1.79%
2021-10-07,81.95,80.98,82.5,79.08,393.10K,1.07%
2021-10-08,82.39,82.38,83.43,81.96,360.97K,0.54%
2021-10-11,83.65,82.65,84.6,82.54,330.44K,1.53%
2021-10-12,83.42,83.49,84.23,82.72,331.41K,-0.27%
2021-10-13,83.18,83.1,83.69,82.2,333.68K,-0.29%
2021-10-14,84.0,83.45,84.5,83.18,316.64K,0.99%
2021-10-15,84.86,84.3,85.1,84.16,276.47K,1.02%
2021-10-18,84.33,84.95,86.04,83.95,340.96K,-0.62%
2021-10-19,85.08,84.21,85.4,83.7,371.79K,0.89%
2021-10-20,85.82,85.19,85.89,83.61,378.69K,0.87%
2021-10-21,84.61,85.9,86.1,83.36,373.65K,-1.41%
2021-10-22,85.53,84.52,85.93,83.82,298.35K,1.09%
2021-10-25,85.99,85.65,86.7,85.43,294.55K,0.54%
2021-10-26,86.4,86.03,86.5,85.27,222.56K,0.48%
2021-10-27,84.58,86.07,86.28,84.05,149.75K,-2.11%
2021-10-28,84.32,84.21,84.59,82.32,118.14K,-0.31%
2021-10-29,84.38,84.33,84.83,83.79,22.77K,0.07%
2021-11-01,84.71,83.63,85.12,83.03,302.90K,0.39%
2021-11-02,84.72,84.45,85.23,83.76,317.07K,0.01%
2021-11-03,81.99,84.07,84.2,81.1,380.11K,-3.22%
2021-11-04,80.54,81.58,84.49,80.2,472.43K,-1.77%
2021-11-05,82.74,81.25,83.16,80.26,379.69K,2.73%
2021-11-08,83.43,82.58,84.0,82.53,269.60K,0.83%
2021-11-09,84.78,83.47,85.3,83.16,346.57K,1.62%
2021-11-10,82.64,84.99,85.5,82.08,366.31K,-2.52%
2021-11-11,82.87,82.85,83.44,81.66,336.14K,0.28%
2021-11-12,82.17,82.83,82.87,81.26,289.30K,-0.84%
2021-11-15,82.05,81.92,82.49,80.67,273.72K,-0.15%
2021-11-16,82.43,82.0,83.14,81.52,340.72K,0.46%
2021-11-17,80.28,82.05,82.22,79.78,406.75K,-2.61%
2021-11-18,81.24,80.1,81.41,79.28,306.85K,1.20%
2021-11-19,78.89,81.0,82.24,78.05,479.93K,-2.89%
2021-11-22,79.7,78.58,80.07,77.58,350.90K,1.03%
2021-11-23,82.31,79.51,82.6,78.55,366.60K,3.27%
2021-11-24,82.25,81.88,83.0,81.74,231.07K,-0.07%
2021-11-25,82.22,82.24,82.58,81.7,80.45K,-0.04%
2021-11-26,72.72,81.65,81.66,72.14,170.78K,-11.55%
2021-11-29,73.44,73.88,77.02,72.41,126.35K,0.99%
2021-11-30,70.57,74.42,74.56,70.22,24.82K,-3.91%
2021-12-01,68.87,69.8,72.87,68.14,420.40K,-2.41%
2021-12-02,69.67,69.72,70.7,65.72,526.60K,1.16%
2021-12-03,69.88,70.22,72.62,69.24,331.82K,0.30%
2021-12-06,73.08,70.24,73.8,70.24,255.40K,4.58%
2021-12-07,75.44,73.6,76.27,73.2,312.28K,3.23%
2021-12-08,75.82,75.44,76.37,74.38,322.08K,0.50%
2021-12-09,74.42,75.94,76.7,73.84,283.39K,-1.85%
2021-12-10,75.15,73.99,75.71,73.8,221.36K,0.98%
2021-12-13,74.39,75.37,76.39,74.2,265.51K,-1.01%
2021-12-14,73.7,74.42,75.16,72.57,277.86K,-0.93%
2021-12-15,73.88,73.25,74.58,72.5,233.19K,0.24%
2021-12-16,75.02,74.47,75.61,74.0,223.64K,1.54%
2021-12-17,73.52,74.5,74.98,72.65,231.41K,-2.00%
2021-12-20,71.52,72.82,72.87,69.28,333.76K,-2.72%
2021-12-21,73.98,71.88,74.27,71.24,214.07K,3.44%
2021-12-22,75.29,74.05,75.67,73.62,166.71K,1.77%
2021-12-23,76.85,75.47,77.0,74.78,161.24K,2.07%
2021-12-24,76.14,76.72,76.79,75.75,30.54K,-0.92%
2021-12-27,78.6,76.32,79.08,75.75,85.39K,3.23%
2021-12-28,78.94,78.67,79.85,78.48,50.41K,0.43%
2021-12-29,79.23,79.28,80.17,78.13,69.63K,0.37%
2021-12-30,79.32,79.19,79.66,78.5,10.90K,0.11%
2021-12-31,77.78,78.81,79.68,77.55,148.96K,-1.94%
2022-01-03,78.98,78.11,79.28,77.04,201.03K,1.54%
2022-01-04,80.0,78.91,80.55,78.62,291.68K,1.29%
2022-01-05,80.8,80.07,81.5,79.51,331.74K,1.00%
2022-01-06,81.99,80.22,82.83,79.61,353.16K,1.47%
2022-01-07,81.75,82.0,83.0,81.42,286.11K,-0.29%
2022-01-10,80.87,81.76,82.3,80.5,300.65K,-1.08%
2022-01-11,83.72,81.08,83.98,80.89,324.94K,3.52%
2022-01-12,84.67,83.78,85.21,83.52,301.39K,1.13%
2022-01-13,84.47,84.87,85.1,83.79,265.20K,-0.24%
2022-01-14,86.06,84.12,86.5,83.99,304.72K,1.88%
2022-01-17,86.48,86.15,86.71,85.54,139.82K,0.49%
2022-01-18,87.51,86.47,88.66,86.44,356.88K,1.19%
2022-01-19,88.44,88.65,89.17,87.61,350.94K,1.06%
2022-01-20,88.38,87.89,89.5,87.05,279.52K,-0.07%
2022-01-21,87.89,86.75,88.23,85.71,288.21K,-0.55%
2022-01-24,86.27,87.93,88.9,85.04,309.89K,-1.84%
2022-01-25,88.2,86.76,88.37,86.2,256.21K,2.24%
2022-01-26,88.74,86.98,89.27,86.71,260.11K,0.61%
2022-01-27,88.17,88.5,89.74,87.79,131.70K,-0.64%
2022-01-28,90.03,89.98,91.7,89.41,102.01K,2.11%
2022-01-31,91.21,90.8,91.48,90.61,11.01K,1.31%
2022-02-01,89.16,89.62,89.96,87.72,271.77K,-2.25%
2022-02-02,89.47,89.48,90.52,88.28,319.43K,0.35%
2022-02-03,91.11,89.07,91.3,88.02,301.79K,1.83%
2022-02-04,93.27,91.3,93.7,91.2,322.13K,2.37%
2022-02-07,92.69,92.75,94.0,92.13,317.29K,-0.62%
2022-02-08,90.78,92.63,92.93,89.93,368.55K,-2.06%
2022-02-09,91.55,91.08,92.09,90.05,294.00K,0.85%
2022-02-10,91.41,91.75,93.1,90.88,369.01K,-0.15%
2022-02-11,94.44,91.17,95.66,90.51,452.11K,3.31%
2022-02-14,96.48,95.2,96.78,93.44,373.09K,2.16%
2022-02-15,93.28,95.81,96.26,92.06,378.25K,-3.32%
2022-02-16,94.81,93.49,96.07,91.11,393.79K,1.64%
2022-02-17,92.97,92.2,94.5,92.14,347.79K,-1.94%
2022-02-18,93.54,92.73,94.15,90.12,348.35K,0.61%
2022-02-21,95.39,94.29,97.4,92.57,217.04K,1.98%
2022-02-22,96.84,96.55,99.5,95.8,316.38K,1.52%
2022-02-23,96.84,96.65,98.71,95.81,238.63K,0.00%
2022-02-24,99.08,98.08,105.79,97.56,167.79K,2.31%
2022-02-25,97.93,100.69,101.99,96.0,68.98K,-1.16%
2022-02-28,100.99,101.98,105.07,99.64,22.96K,3.12%
2022-03-01,104.97,98.43,107.67,98.3,492.51K,3.94%
2022-03-02,112.93,107.34,115.11,106.83,490.57K,7.58%
2022-03-03,110.46,115.27,119.84,109.4,452.52K,-2.19%
2022-03-04,118.11,114.23,118.98,109.62,334.41K,6.93%
2022-03-07,123.21,122.79,139.13,119.04,419.93K,4.32%
2022-03-08,127.98,124.56,133.15,121.31,469.99K,3.87%
2022-03-09,111.14,130.28,131.64,105.6,521.58K,-13.16%
2022-03-10,109.33,112.65,118.36,109.0,352.34K,-1.63%
2022-03-11,112.67,110.26,113.91,107.13,287.39K,3.05%
2022-03-14,106.9,113.15,113.15,103.49,265.91K,-5.12%
2022-03-15,99.91,105.34,105.71,97.44,318.12K,-6.54%
2022-03-16,98.02,99.14,103.7,96.93,246.82K,-1.89%
2022-03-17,106.64,98.61,107.5,97.75,200.95K,8.79%
2022-03-18,107.93,106.8,109.59,105.78,168.91K,1.21%
2022-03-21,115.62,107.5,116.8,107.06,196.49K,7.12%
2022-03-22,115.48,117.04,119.48,112.64,204.66K,-0.12%
2022-03-23,121.6,114.7,122.34,114.45,224.53K,5.30%
2022-03-24,119.03,121.56,123.74,116.93,177.66K,-2.11%
2022-03-25,120.65,118.88,120.92,115.16,133.46K,1.36%
